Dalton,Carter,dalton35@adventure-works.com,358-555-0140,Beaverton,Oregon
Isabella,Brooks,isabella8@adventure-works.com,421-555-0139,Bremerton,Washington
Carol,Washington,carol19@adventure-works.com,116-555-0141,Burien,Washington
Isaac,Campbell,isaac29@adventure-works.com,496-555-0172,Olympia,Washington
Misty,Xie,misty4@adventure-works.com,146-555-0168,Bremerton,Washington
Robert,Hayes,robert34@adventure-works.com,117-555-0135,Lake Oswego,Oregon
Jacqueline,Reed,jacqueline45@adventure-works.com,406-555-0129,Burien,Washington
Angel,Ramirez,angel6@adventure-works.com,488-555-0166,Portland,Oregon
Michelle,Richardson,michelle10@adventure-works.com,590-555-0195,Kirkland,Washington
Carlos,Perez,carlos30@adventure-works.com,547-555-0191,Tacoma,Washington
Christina,Morris,christina17@adventure-works.com,193-555-0194,Lake Oswego,Oregon
Alexandra,Lopez,alexandra62@adventure-works.com,142-555-0119,Woodburn,Oregon
Johnathan,Srini,johnathan10@adventure-works.com,767-555-0193,Ballard,Washington
Michael,Anderson,michael42@adventure-works.com,306-555-0141,Oregon City,Oregon
Samantha,Gonzales,samantha39@adventure-works.com,701-555-0179,Corvallis,Oregon
